code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
2792,22199121,11731065,,,10054885,,7811224,3849854,2640051
2795,6099252,4296215,,,1320089,563632,691129,1496482,435278
2796,9785,3087,,,6407,,3301,9568,8682
2798,1969891,1096216,,,1302082,374,1078475,3958516,1385290
2804,9979,4870,,,7711,8249,9082,3970,2290
2806,17016,8619,,,4883,1575,1937,2419,942
2809,151517,53830,,,150586,43431,62404,73501,40349
2811,134881,,,55370,,,,86515,
2812,14622707,9146780,,,4990602,2296078,2703647,2555233,498352
2814,11396973,8747349,,,4978341,3294466,3625408,1596433,72779
2816,6839,2645,,,6908,259,1219,4605,1935
2818,3814372,2000816,,,4735799,16264,721315,2774213,983325
2819,27002,16292,,,8550,2068,4439,9030,4226
2820,1961090,246562,,,11695819,,,3326872,3270074
2831,32705863,2558478,,,15034205,7751086,8667609,18518775,5910502
2871,169572,28933,,,173962,40506,53789,108506,86786
2872,941432,99070,,,1009075,49820,94606,746007,270451
2874,46898,4108,,,99110,23111,27433,39469,63859
2875,235398,117544,,,157938,29169,31465,55270,27481
2876,5000912,974387,,,4157334,163418,1405897,3053408,2185596
2882,9764168,1388376,,,8681515,18357,1749070,9904808,3392800
2883,9958887,4310327,,,648890,23953,227676,2225276,364861
2897,229117,,,257135,,,,160650,
2899,35764,8609,,,29371,7046,10828,33271,20888
2901,878686,500892,,,328,179825,199186,584542,452813
2902,26096532,8475645,,,19665123,5027152,6851584,9242111,1286430
2903,10287,4681,,,19492,13,490,9177,7747
2904,7781561,2251327,,,10463858,2884497,3218382,6128284,2987030
2905,2919384,607373,,,6644843,196719,624254,4126162,4174750
2907,10755435,1843258,,,10643885,687613,1875333,8945251,1572343
2908,32877,13874,,,46046,4411,5912,12876,1428
2910,16959,12035,,,15680,,1528,4345,2134
2911,4570614,2261366,,,4521193,592352,649133,1718599,884465
2916,11097619,3255298,,,7625001,1725460,2331255,8000440,2799064
2917,11282365,355308,,,2791651,358561,509598,3548507,529966
2918,29433,8946,,,44477,512,7685,23539,14361
