code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
8139,16652973,2975308,,5322677.0,689665.0,1593190.0,9853241,1793956.0
8140,132488,20685,,8707.0,3587.0,6009.0,56236,2240.0
8141,66833,17697,,916.0,3242.0,5244.0,20785,2363.0
8142,35246,6988,,29635.0,2028.0,10728.0,37882,25895.0
8143,2413659,1231609,,955263.0,241884.0,511444.0,2386085,769681.0
8144,20829,7661,,3212.0,5670.0,12160.0,8275,1596.0
8147,11218757,5311280,,1036796.0,2389263.0,3514155.0,4803948,1399298.0
8150,77934,25544,,2701.0,3067.0,3484.0,40975,416.0
8152,14666286,5600745,,2660778.0,1649648.0,2766104.0,3930758,3621930.0
8153,26281,13757,,10893.0,15968.0,25842.0,13144,6345.0
8157,56740,15944,,6264.0,4766.0,10228.0,30037,14991.0
8158,45554,10833,,1759.0,13186.0,13829.0,31805,3634.0
8159,90725,18987,,5192.0,21936.0,23741.0,41221,3837.0
8163,14542717,9431344,,8217537.0,577686.0,6778298.0,7009799,14002834.0
8165,37539,19689,,10082.0,2431.0,3813.0,17918,3635.0
8166,4864150,631087,,519767.0,,3520633.0,6076254,1847951.0
8174,34764,12453,,85786.0,2169.0,11214.0,37206,33571.0
8181,1079224,609229,,9477661.0,95895.0,1621844.0,2689206,1418427.0
8182,39083,4836,,33659.0,7210.0,23745.0,32296,11235.0
8185,66494,36528,,7577.0,3079.0,20589.0,24011,13124.0
8186,13356036,3084110,150225.0,,,3587372.0,6435452,919331.0
8190,9927,4599,,22929.0,3031.0,8524.0,13669,11920.0
8198,61685,19596,,53874.0,422.0,14743.0,46522,10012.0
8202,36618,13704,6299.0,,,7991.0,19801,6510.0
8203,16806,2874,,50430.0,324.0,13999.0,30115,24327.0
8207,2636845,1524849,,1808582.0,187563.0,2097923.0,4266271,1582009.0
8208,12912,2106,,20129.0,715.0,3125.0,17061,9621.0
8209,345516,180777,,754622.0,9000.0,461107.0,408849,2432832.0
8214,67852,29941,,122769.0,2612.0,41133.0,47842,63567.0
8215,2064044,1304969,,303432.0,1292987.0,1993589.0,658921,1492305.0
8217,35549,18593,,85554.0,2250.0,12850.0,41395,18720.0
8218,158114,17303,,162629.0,1909.0,18796.0,100094,47502.0
8226,6392977,3015214,,382943.0,31702.0,330888.0,2577505,297087.0
8228,35836,9293,,11087.0,3025.0,4828.0,27185,2552.0
8233,283607,106675,,706535.0,75222.0,123923.0,402625,332769.0
8237,9331,2965,,29144.0,6233.0,7997.0,24655,15552.0
8242,192763,,,261386.0,114748.0,208538.0,184531,212136.0
8244,26862,5618,,72273.0,3534.0,20702.0,81415,8360.0
8249,52923,17906,,11088.0,2300.0,3922.0,16806,1459.0
8252,623787,41190,,172950.0,42144.0,94183.0,220860,389505.0
8253,2870097,68665,29095.0,16160.0,78774.0,234740.0,1191931,1646687.0
8254,1946442,861791,,7741604.0,316734.0,1517793.0,5034016,5774140.0
8256,2036732,691641,,799943.0,66881.0,162684.0,1993001,425433.0
8267,7136247,1287564,,3062916.0,269706.0,977341.0,6878471,2847019.0
8273,107112,25306,,330539.0,9876.0,41350.0,113596,130684.0
8275,22335320,10963616,,920528.0,2228336.0,6307735.0,15547361,2822448.0
8276,58145,28484,,197904.0,3886.0,32120.0,90691,39537.0
8278,29553,13060,,103822.0,21978.0,39624.0,47519,39625.0
8279,58091,32080,,169634.0,467.0,33333.0,69287,83207.0
8281,146631,44323,,31899.0,639.0,23626.0,69796,21336.0
8282,203219,27995,,146242.0,841.0,74831.0,106305,46276.0
8283,294180,37623,,114423.0,25245.0,26151.0,190162,9910.0
8285,39837,6679,,16367.0,22341.0,24603.0,30776,9771.0
8289,16778,4572,,28915.0,877.0,17899.0,28383,10287.0
8291,36383,17078,,43357.0,4520.0,14010.0,26207,21657.0
8293,201344,795,,143931.0,59227.0,76652.0,133740,66388.0
8298,4548659,1856495,,7843458.0,64319.0,227214.0,3496038,1749309.0
8424,2108637,98926,,677379.0,112838.0,163244.0,1538089,1096398.0
8425,2085064,21052,,305757.0,171991.0,205282.0,1492850,899486.0
8462,2335,2040,,4.0,18.0,840.0,365,33.0
8515,809712,40950,,17765.0,7714.0,30570.0,499596,216065.0
8572,1153346,83323,,13998.0,1207.0,44960.0,175271,528710.0
8584,4395613,112241,,24073.0,18218.0,37944.0,3080342,1230459.0
8585,5246106,315176,,94216.0,15554.0,84394.0,4238888,1048225.0
8593,3159621,294241,,2269220.0,357791.0,430226.0,1582388,3606209.0
8594,104657281,7398471,,14683739.0,,6625784.0,46598355,70959414.0
8596,107642,4722,,32854.0,6482.0,7512.0,42740,73749.0
8616,1342676,83589,10740.0,,48155.0,,1143073,100176.0
8697,59893862,,10697.0,,,,59715175,
8699,443930,92317,,14133.0,25818.0,39641.0,401626,26535.0
8704,,4420,38.0,,133.0,,,
8705,77375808,6844675,,281908.0,4883374.0,5695286.0,69228985,1736800.0
8708,64440,,,6701.0,33530.0,35612.0,42029,6605.0
8715,6994,6023,2520.0,91.0,,15800.0,638,5507.0
8737,,16432900,,1568086.0,2058731.0,2767424.0,,
8739,,,,878.0,11948.0,13552.0,,
8740,6173364,1159888,,338994.0,124423.0,429738.0,4638744,277725.0
8747,62639237,5009977,,3074222.0,1175346.0,2611348.0,57742869,1535514.0
8771,17085816,16056248,,1385945.0,3426737.0,3987531.0,5269109,115282.0
8772,78158320,5616739,,100576.0,,549529.0,13791149,25555671.0
8783,852370,263878,,207060.0,,127722.0,556907,836798.0
8789,9974699,2598908,,6455446.0,72307.0,400909.0,2837234,6792687.0
8793,924361,39032,,66699.0,46806.0,61579.0,468192,475576.0
8798,7576858,2274826,559062.0,,319190.0,2263939.0,3087209,1863318.0
8801,2455996,189542,,3717166.0,1049085.0,1489174.0,1001167,4084813.0
8804,478604,88810,,809654.0,152205.0,254375.0,219700,1034906.0
8806,21844,18752,,329394.0,27834.0,30634.0,27625,198956.0
8818,22603394,21550649,,116765755.0,11910639.0,14548320.0,9578931,73924761.0
8835,16788,6305,,23121.0,755.0,3658.0,14008,14594.0
8836,811,780,,1699.0,6.0,40.0,179,351.0
8841,33237,32204,,55236.0,16208.0,16984.0,6531,12292.0
