code,市場,銘柄名,現在値
3237,マザーズ,イントランス,74
3238,東証2部,セントラル総合開発,343
3241,東証2部,ウィル,358
3242,東証JQS,アーバネットコーポレーション,315
3244,東証1部,サムティ,2042
3245,東証1部,ディア・ライフ,466
3246,東証1部,コーセーアールイー,620
3248,東証2部,アールエイジ,635
3252,東証1部,日本商業開発,1769
3254,東証1部,プレサンスコーポレーション,1735
3260,名古屋セ,エスポア,582
3261,マザーズ,グランディーズ,392
3264,東証JQS,アスコット,213
3266,東証JQS,ファンドクリエーショングループ,95
3267,東証1部,フィル・カンパニー,2855
3271,東証1部,ＴＨＥグローバル社,249
3275,東証1部,ハウスコム,1140
3276,東証1部,日本管理センター,1275
3277,東証1部,サンセイランディック,872
